"word","is_sequential","present_trial","recog_rating","recog_RT","target_angle","response_angle","response_error","source_RT","valid_RT","block","session","recog_band","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","angle_7","angle_8","angle_9","angle_10","offset1","offset2","offset3","offset4","offset5","offset6","offset7","offset8","offset9","offset10","participant"
"ATOM",FALSE,3,"6",511.900000095367,4.69479404402955,4.71238898038469,-0.0175949363551382,1172.89999997616,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,-1.59142100371609,-1.88133228844861,1.53835102985097,0,-3.11774689395944,-2.87826440706558,-0.164332639433641,2.80058338270701,-2.13757482593156,-2.89013232626677,1
"SEWN",FALSE,4,"6",558,1.52935563080941,1.58871555702427,-0.0593599262148661,1422.19999992847,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,1.52632589024335,1.23641460551083,-1.62708738336918,3.11774689395944,0,0.239482486893857,2.9534142545258,-0.364855030513134,0.980172068027875,0.227614567692667,1
"INFO",FALSE,5,"6",850,1.28987314391555,1.22233237326262,0.0675407706529248,1198,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,1.2868434033495,0.99693211861697,-1.86656987026303,2.87826440706558,-0.239482486893857,0,2.71393176763194,-0.604337517406991,0.740689581134019,-0.0118679192011897,1
"FLUX",FALSE,6,"6",716.200000047684,4.85912668346319,4.91869258483883,-0.0595659013756356,844.400000095367,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,-1.42708836428245,-1.71699964901497,1.70268366928461,0.164332639433641,-2.9534142545258,-2.71393176763194,0,2.96491602214065,-1.97324218649792,-2.72579968683313,1
"MEAD",FALSE,7,"6",1548.20000004768,1.89421066132254,2.0200276694305,-0.125817008107957,1014.40000009537,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,1.89118092075649,1.60126963602396,-1.26223235285604,-2.80058338270701,0.364855030513134,0.604337517406991,-2.96491602214065,0,1.34502709854101,0.592469598205801,1
"BRAS",FALSE,8,"6",646.199999928474,0.54918356278153,0.598653607080203,-0.0494700442986731,981,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,0.546153822215477,0.256242537482951,-2.60725945139705,2.13757482593156,-0.980172068027875,-0.740689581134019,1.97324218649792,-1.34502709854101,0,-0.752557500335209,1
"VIBE",FALSE,9,"6",647.299999952316,1.30174106311674,1.21391281372249,0.0878282493942448,1366.89999997616,TRUE,3,2,"High",0.00302974056605238,0.292941025298579,3.15644301417858,4.69479404402955,1.52935563080941,1.28987314391555,4.85912668346319,1.89421066132254,0.54918356278153,1.30174106311674,1.29871132255069,1.00880003781816,-1.85470195106184,2.89013232626677,-0.227614567692667,0.0118679192011897,2.72579968683313,-0.592469598205801,0.752557500335209,0,1
"REAP",FALSE,0,"6",624.599999904633,0.853892507615134,0.935921842337254,-0.0820293347221198,2925.89999997616,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,0,-0.314954578783606,1.23882357325431,3.07196095741943,1.69103441092058,-0.554755948732944,-2.75297978536276,2.58778733925806,2.3311737495467,-0.315227304333044,1
"BULK",FALSE,1,"6",714.899999976158,1.16884708639874,1.03701761359507,0.131829472803673,980.600000023842,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,0.314954578783606,0,1.55377815203792,-2.89626977097655,2.00598898970419,-0.239801369949339,-2.43802520657916,2.90274191804167,2.64612832833031,-0.000272725549438579,1
"RUST",FALSE,2,"6",782.100000023842,5.89825424154041,5.69099856021984,0.207255681320571,2580.39999997616,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,-1.23882357325431,-1.55377815203792,0,1.83313738416511,0.452210837666269,-1.79357952198726,2.29138194856251,1.34896376600375,1.09235017629239,-1.55405087758736,1
"MOLD",FALSE,3,"6",625.100000023842,4.06511685737529,4.00799635433782,0.0571205030374706,2045.29999995232,TRUE,4,2,"High",0.853892507615134,1.16884708639874,5.89825424154041,4.06511685737529,5.44604340387414,1.40864845634808,3.6068722929779,4.54929047553666,4.80590406524802,1.16911981194818,-3.07196095741943,2.89626977097655,-1.83313738416511,0,-1.38092654649885,2.65646840102722,0.458244564397396,-0.484173618161365,-0.740787207872723,2.89599704542712,1
